index,solubility,diffusivity,thickness,output_flow
0,0.050906,5.152978e-09,1.993446,5.138090
1,0.076476,3.113832e-09,1.934397,4.811185
2,0.035903,7.618895e-09,1.918128,5.561718
3,0.067740,9.179180e-09,1.949513,12.253635
4,0.026491,1.257615e-09,1.967945,0.673356
5,0.080000,1.000000e-08,2.000000,15.283807
6,0.020000,6.205607e-09,1.981906,2.467207
7,0.080000,2.309305e-09,1.900000,3.812111
8,0.020000,6.310469e-09,1.900000,2.615515
9,0.020000,7.403852e-10,2.000000,0.295522
10,0.020000,6.628954e-09,1.951500,2.674365
11,0.080000,1.000000e-08,1.900000,16.067202
12,0.080000,1.537586e-09,1.968081,2.462374
13,0.020000,9.548446e-09,1.940066,3.858555
14,0.051298,4.037345e-09,1.951085,4.157025
15,0.051041,1.000000e-10,1.900000,0.107517
16,0.080000,1.000000e-10,2.000000,0.159947
17,0.080000,1.000000e-08,1.900000,16.067202
18,0.020000,3.886378e-09,2.000000,1.537633
19,0.020000,1.000000e-08,1.900000,4.122752
20,0.049924,1.343295e-09,2.000000,1.328127
21,0.020000,1.000000e-08,1.900000,4.122752
22,0.036508,3.202780e-09,2.000000,2.304888
23,0.036547,3.290198e-09,2.000000,2.369697
24,0.048790,1.000000e-08,1.948350,9.670690
25,0.048736,2.945807e-09,1.948525,2.897864
26,0.064479,4.070479e-09,2.000000,5.124220
27,0.064755,9.230883e-09,2.000000,11.498926
28,0.062662,1.000000e-08,1.900000,12.661048
29,0.062461,1.000000e-08,1.900000,12.621227
30,0.020000,1.000000e-08,2.000000,3.919139
31,0.080000,1.000000e-10,1.900000,0.168344
32,0.038959,1.000000e-08,1.900000,7.948809
33,0.020000,1.000000e-10,2.000000,0.040087
34,0.020000,1.000000e-10,2.000000,0.040087
35,0.080000,1.000000e-08,2.000000,15.283807
36,0.080000,9.307338e-09,1.900000,14.981916
37,0.020000,1.000000e-10,2.000000,0.040087
38,0.080000,1.000000e-10,1.900000,0.168344
39,0.080000,1.000000e-10,1.900000,0.168344
40,0.020000,1.000000e-10,1.900000,0.042194
41,0.080000,1.000000e-10,2.000000,0.159947
42,0.020000,1.000000e-10,2.000000,0.040087
43,0.080000,1.000000e-10,2.000000,0.159947
44,0.080000,1.000000e-10,2.000000,0.159947
45,0.020000,1.000000e-08,1.900000,4.122752
46,0.020000,1.000000e-08,1.900000,4.122752
47,0.020000,1.000000e-10,2.000000,0.040087
48,0.020000,1.000000e-10,2.000000,0.040087
49,0.043029,1.000000e-10,2.000000,0.086145
